url,town_vilage,voivodeship,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/piekny-dom-na-przedmiesciach-warszawy-07-2020r-ID46p08.html#4f9791ef49,Warszawa,mazowieckie,4,730000,134,177
https://www.otodom.pl/oferta/dom-z-duzym-ogrodkiem-w-cenie-mieszkania-ID46wVn.html#4f9791ef49,Brwinów,mazowieckie,4,519000,100.6,216
https://www.otodom.pl/oferta/wawer-przestronny-dom-dla-rodziny-inwestora-ID46rrf.html#4f9791ef49,Warszawa,mazowieckie,7,950000,129,858
https://www.otodom.pl/oferta/dom-przeczyce-stan-surowy-deweloperski-dom-110m2-ID46g4P.html#4f9791ef49,Przeczyce,śląskie,4,300000,110,700
https://www.otodom.pl/oferta/nowy-dom-w-pieknej-okolicy-przyleki-ID46IBV.html#4f9791ef49,Przyłęki,kujawskopomorskie,5,498000,211.88,605
https://www.otodom.pl/oferta/dom-wolnostojacy-duza-dzialka-ID46uSf.html#4f9791ef49,Siechnice,dolnośląskie,5,1566000,358.4,1996
https://www.otodom.pl/oferta/nowe-domy-w-stanie-deweloperskim-od-449-000-zl-ID45uHI.html#4f9791ef49,Katowice,śląskie,5,449000,136,300
https://www.otodom.pl/oferta/nowy-dom-102m2-pociekarb-ID456XB.html#4f9791ef49,Pociękarb,opolskie,5,469000,102,1000
https://www.otodom.pl/oferta/atrakcyjne-segmenty-114-m2-domaniew-ID452uc.html#4f9791ef49,Domaniew,mazowieckie,4,529000,114,300
https://www.otodom.pl/oferta/blizniak-ujazd-brzezie-gm-zabierzow-duzy-ogrodek-ID46108.html#4f9791ef49,Ujazd,małopolskie,4,550000,103,423
https://www.otodom.pl/oferta/dom-z-ogrodkem-w-cenie-kawalerki-1km-od-ursynowa-ID4597S.html#996088d890,Warszawa,mazowieckie,4,480000,103,123
https://www.otodom.pl/oferta/unikatowy-przestronny-dom-w-cichej-okolicy-ID46Jm8.html#996088d890,Krosno Odrzańskie,lubuskie,10,420000,420,4500
https://www.otodom.pl/oferta/gotowe-domy-jednorodzinne-w-rabieniu-ab-ID41Nu1.html#996088d890,Rąbień AB,łódzkie,5,659000,150,400
https://www.otodom.pl/oferta/dom-116-m-robakowo-ID43j3J.html#996088d890,Robakowo,wielkopolskie,4,385000,116,395
https://www.otodom.pl/oferta/villa-fotografa-nastepcy-tronu-ID46o8k.html#996088d890,Olsztyn,warmińskomazurskie,10,2318609,232,172
https://www.otodom.pl/oferta/nowoczesny-dom-wola-justowska-ul-jesionowa-ID46aFC.html#996088d890,Kraków,małopolskie,NA,2500000,373,520
https://www.otodom.pl/oferta/dom-103-m-kamionki-ID44Xze.html#996088d890,Kamionki,wielkopolskie,4,450000,103,707
https://www.otodom.pl/oferta/dom-w-malowniczej-miejscowosci-glojsce-ID46rkv.html#996088d890,Głojsce,podkarpackie,3,270000,90,10
https://www.otodom.pl/oferta/dom-95-m-poznan-ID45ynE.html#996088d890,Poznań,wielkopolskie,4,599000,95,402
https://www.otodom.pl/oferta/dom-z-duza-dzialka-na-granicy-szamotuly-kepa-ID46107.html#996088d890,Szamotuły,wielkopolskie,4,379000,99.11,NA
https://www.otodom.pl/oferta/blizniaki-w-znakomitej-lokalizacji-promnice-ID45T8Y.html#996088d890,Murowana Goślina,wielkopolskie,3,359000,61.8,142
https://www.otodom.pl/oferta/nowoczesny-energooszczedny-dom-w-zalasewie-ID46Jly.html#996088d890,Zalasewo,wielkopolskie,5,1950000,201.28,641
https://www.otodom.pl/oferta/blizniaki-w-znakomitej-lokalizacji-promnice-ID45T3S.html#996088d890,Murowana Goślina,wielkopolskie,5,409000,88.6,280
https://www.otodom.pl/oferta/nowoczesne-domy-w-zabudowie-szeregowej-ul-liliowa-ID46rkh.html#996088d890,Polkowice,dolnośląskie,4,390000,132.5,220
https://www.otodom.pl/oferta/pieknie-polozony-dom-w-letnicy-kolo-zielonej-gory-ID45YTb.html#996088d890,Letnica,lubuskie,5,430000,132,3000
https://www.otodom.pl/oferta/promocyjna-cena-wysoki-standard-budynku-ID43AyE.html#996088d890,Dopiewiec,wielkopolskie,4,397500,116,300
https://www.otodom.pl/oferta/obnizka-ceny-40-000-zl-ostatni-lokal-ID45XiG.html#996088d890,Dopiewiec,wielkopolskie,4,397500,116,300
https://www.otodom.pl/oferta/11-000-zl-w-prezencie-podwyzszony-standard-ID42qgv.html#996088d890,Dopiewiec,wielkopolskie,4,418000,116,500
https://www.otodom.pl/oferta/dwa-ostatnie-lokale-w-obnizonej-cenie-duza-dzialka-ID45Ekw.html#996088d890,Dopiewiec,wielkopolskie,4,416800,116,490
https://www.otodom.pl/oferta/11-000-zl-w-prezencie-podwojna-sciana-ID41FnM.html#996088d890,Dopiewiec,wielkopolskie,5,430000,113,420
https://www.otodom.pl/oferta/11-000-zl-w-promocji-dzialka-500-m2-ID43AyJ.html#996088d890,Dopiewiec,wielkopolskie,5,429800,113,500
https://www.otodom.pl/oferta/dzialka-500-metrow-wysoki-standard-ID45XiN.html#996088d890,Dopiewiec,wielkopolskie,5,429800,113,500
https://www.otodom.pl/oferta/blisko-szkoly-i-komunikacji-miejskiej-ID45XiS.html#996088d890,Dopiewiec,wielkopolskie,5,430000,113,420
https://www.otodom.pl/oferta/ogrzewanie-podlogowe-w-cenie-duze-dzialki-ID45dck.html#996088d890,Skórzewo,wielkopolskie,4,497000,108.9,417
https://www.otodom.pl/oferta/11-000-zl-w-prezencie-dodatkowy-pokoj-ID45ddI.html#b0df9ea3d0,Skórzewo,wielkopolskie,5,498000,115.8,385
https://www.otodom.pl/oferta/duze-dzialki-420-metry-ID45TI1.html#b0df9ea3d0,Skórzewo,wielkopolskie,4,497000,108.9,420
https://www.otodom.pl/oferta/spokojna-okolica-duze-domy-i-dzialki-ID45X56.html#b0df9ea3d0,Skórzewo,wielkopolskie,4,497000,108.9,423
https://www.otodom.pl/oferta/spokojna-okolica-blisko-szkola-ID46Adj.html#b0df9ea3d0,Skórzewo,wielkopolskie,4,497000,108.9,417
https://www.otodom.pl/oferta/bonus-11-000-zl-dom-parterowy-80-m2-ID44ymE.html#b0df9ea3d0,Dąbrowa,wielkopolskie,3,449000,80,260
https://www.otodom.pl/oferta/bezposrednio-od-dewelopera-promocja-na-lato-ID46H2w.html#b0df9ea3d0,Luboń,wielkopolskie,3,365000,63.48,320
https://www.otodom.pl/oferta/bezposrednio-od-dewelopera-promocja-na-lato-ID46H2v.html#b0df9ea3d0,Luboń,wielkopolskie,3,378000,66.4,320
https://www.otodom.pl/oferta/mieszkania-z-ogrodkiem-w-centrum-ID46j5l.html#b0df9ea3d0,Luboń,wielkopolskie,4,349000,65.02,325
https://www.otodom.pl/oferta/mieszkania-z-ogrodkiem-w-centrum-ID46sgP.html#b0df9ea3d0,Luboń,wielkopolskie,4,349000,70.5,325
https://www.otodom.pl/oferta/korzysc-11-000-zl-wiry-dzialka-400-m2-ID419FN.html#b0df9ea3d0,Luboń,wielkopolskie,4,458900,96,400
https://www.otodom.pl/oferta/korzysc-10-000-zl-atrakcyjna-cena-w-komornikach-ID41Bfx.html#b0df9ea3d0,Luboń,wielkopolskie,4,429000,85,300
https://www.otodom.pl/oferta/bonus-10-000-zl-gotowy-do-odbioru-od-zaraz-wiry-ID42q71.html#b0df9ea3d0,Luboń,wielkopolskie,4,438700,96,333
https://www.otodom.pl/oferta/centrum-spokojna-okolica-ostatni-wolny-ID46h8Q.html#b0df9ea3d0,Luboń,wielkopolskie,5,469000,104.27,315
https://www.otodom.pl/oferta/blizniak-w-stanie-deweloperskim-polnoc-ID46Jl8.html#b0df9ea3d0,Częstochowa,śląskie,5,520000,165,354
https://www.otodom.pl/oferta/prestige-baltica-dom-pod-klucz-ID42I0N.html#b0df9ea3d0,Dziwnówek,zachodniopomorskie,4,798000,100,700
https://www.otodom.pl/oferta/sprzedam-blizniak-100m2-jozefow-gotowe-sprzedaz-ID43zzl.html#b0df9ea3d0,Józefów,mazowieckie,4,655000,100,200
https://www.otodom.pl/oferta/piekny-dom-o-wysokim-standardzie-okazja-ID43zrT.html#b0df9ea3d0,Oleśnica,dolnośląskie,5,870000,180,1100
https://www.otodom.pl/oferta/nowa-inwestycja-w-wieckowicach-10km-od-krakowa-ID46JkW.html#b0df9ea3d0,Zabierzów,małopolskie,4,520000,103.67,300
